" "," ",module,Magento_ImportExport
"You deleted the sitefolder.","Je hebt de sitefolder verwijderd.",module,Magento_Sitefolder
"You deleted the sitemap.","U heef de sitemap verwijderd.",module,Magento_Sitemap
"You deleted the store view.","Je hebt het winkelzicht verwijderd.",module,Magento_Backend
"You deleted the store.","Je hebt de store verwijderd.",module,Magento_Backend
"You deleted the tax rate.","Je hebt het BTW tarief verwijderd.",module,Magento_Tax
"You deleted the theme.","Je hebt het thema verwijderd.",module,Magento_Theme
"You deleted the user.","Je hebt de gebruiker verwijderd.",module,Magento_User
"You deleted the website.","Je hebt de website verwijderd.",module,Magento_Backend
"You deleted this gift registry entity.","U verwijderd dit verlanglijst register geheel.",module,Magento_GiftRegistry
"You deleted this gift registry.","U heeft verwijderd deze verlanglijst registratie.",module,Magento_GiftRegistry
"You did not email your customer. Please check your email settings.","Je hebt je klant niet gemaild. Controleer je e-mailinstellingen.",module,Magento_Sales
"You did not sign in correctly or your account is temporarily disabled.","Je hebt niet correct ingelogd of je account is tijdelijk uitgeschakeld.",module,Magento_User
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","%1 catalogus prijsregel is uitgeschakeld op basis van attribuut ""%2"".",module,Magento_CatalogRule
"You disabled %1 Catalog Price Rules based on %2"" attribute.""","Je hebt %1 catalogus prijs regels uitgeschakeld gebaseerd op %2"" attribuut.""",module,Magento_CatalogRule
"You do not have access to this.","U heeft geen toegang hier toe.",module,Magento_AdvancedCheckout
"You do not have enough store credit to complete this order.","U heeft niet genoeg winkeltegoed om deze bestelling af te ronden.",module,Magento_CustomerBalance
"You don't have a company account yet.","U heeft nog geen zakelijk account.",module,Magento_Company
"You don't have enough reward points to pay for this purchase.","U heeft niet genoeg spaarpunten om deze aankoop te betalen.",module,Magento_Reward
"You don't have the correct permissions to assign the customer to the cart.","You don't have the correct permissions to assign the customer to the cart.",module,Magento_Quote
"You don't need to select a shipping address.","Je hoeft geen verzendadres te selecteren.",module,Magento_Sales
"You don't need to select a shipping method.","Je hoeft geen verzendmethode te selecteren.",module,Magento_Sales
"You don't subscribe to our newsletter.","Je hebt je niet ingeschreven voor onze nieuwsbrief.",module,Magento_Customer
"You don’t have permission to perform this operation. Selected reviews must be in Pending Status only.","You don’t have permission to perform this operation. Selected reviews must be in Pending Status only.",module,Magento_Review
"You don’t have permission to perform this operation. The selected review must be in Pending Status.","You don’t have permission to perform this operation. The selected review must be in Pending Status.",module,Magento_Review
"You duplicated the block.","U heeft het blok gedupliceerd.",module,Magento_Cms
"You duplicated the page.","U heeft de pagina gedupliceerd.",module,Magento_Cms
"You duplicated the product.","Je hebt het product gedupliceerd.",module,Magento_Catalog
"You entered an invalid Secret Key. Please refresh the page.","Je hebt een ongeldige geheime sleutel ingevoerd. Vernieuw de pagina.",module,Magento_Backend
"You entered an invalid email address: ""%1"".","Ongeldig e-mailadres ingevoerd: '%1'.",module,Magento_Rma
"You entered an invalid hostname: ""%1""","Ongeldige hostname ingevoerd: '%1'",module,Magento_Rma
"You entered an invalid type: ""%1"".","Ongeldig type ingevoerd: '%1'.",module,Magento_Rma
"You entered incorrect data. Please try again.","Je hebt onjuiste gegevens ingevoerd. Probeer het opnieuw.",module,Magento_Sales
"You entered item(s) with an empty SKU.","You entered item(s) with an empty SKU.",module,Magento_QuickOrder
"You flushed the cache storage.","Je hebt de cache opslag verwijderd.",module,Magento_Backend
"You have %1 new system message","Je hebt %1 nieuw systeembericht",module,Magento_AdminNotification
"You have %1 new system messages","Je hebt %1 nieuwe systeemberichten",module,Magento_AdminNotification
"You have %points_balance points that may be used in our store:","U heeft een totaal van %points_balance punten die u kan gebruiken in onze winkel:",module,Magento_Reward
"You have a total of %points_balance points that may be used in our store:","U heeft een totaal van %points_balance punten die u in onze winkel kan gebruiken:",module,Magento_Reward
"You have accepted the invitation to the company","You have accepted the invitation to the company",module,Magento_Company
"You have added or changed the shipping address on this quote. Please re-submit the quote to Seller.","U heeft voor deze offerte het verzendadres gewijzigd. Verstuur de offerte opnieuw zodat deze kan worden beoordeeld.",module,Magento_NegotiableQuote
"You have been assigned to %company_name as the Sales Representative.","U bent toegewezen aan %company_name als de verkoopvertegenwoordiger.",module,Magento_Company
"You have been assigned to <a href=""%customer_url"">%company_name</a> as the Company Admin.","U bent toegewezen aan <a href=""%customer_url"">%company_name</a> als bedrijfsbeheerder.",module,Magento_Company
"You have been successfully subscribed to our newsletter.","Je hebt je succesvol voor onze nieuwsbrief ingeschreven.",module,Magento_Newsletter
"You have been unsubscribed from the newsletter.","Je hebt je voor de nieuwsbrief uitgeschreven.",module,Magento_Newsletter
"You have chosen to change status(es) of the selected RMA requests to Close. Are you sure you want to continue?","U heeft ervoor gekozen om de status(sen) van de geselecteerde RMA aanvragen te wijzigen naar ""Gesloten"". Bent u zeker dat u wilt verdergaan?",module,Magento_Rma
"You have created company %companyName.","U hebt bedrijf %companyName aangemaakt.",module,Magento_Company
"You have deleted company %companyName.","U hebt bedrijf %companyName verwijderd.",module,Magento_Company
"You have deleted role %companyRoleName.","U hebt de rol %companyRoleName verwijderd.",module,Magento_Company
"You have deleted the quote.","U heeft de offerte verwijderd.",module,Magento_NegotiableQuote
"You have entered an invalid password for current user.","Je hebt een onjuist wachtwoord voor de huidige gebruiker ingevoerd.",module,Magento_User
"You have item changes","Je hebt item-wijzigingen",module,Magento_Sales
"You have items in your shopping cart. Would you like to merge items in this order with items of this shopping cart or replace them?","U heeft artikelen in uw winkelwagen. Wilt u deze artikelen samenvoegen in deze bestelling of deze vervangen?",module,Magento_RequisitionList
"You have logged out.","Je bent uitgelogd.",module,Magento_Backend
"You have no default billing address in your address book.","Je hebt geen standaard factuuradres in je adresboek.",module,Magento_Customer
"You have no default shipping address in your address book.","Je hebt geen standaard leveringsadres in je adresboek.",module,Magento_Customer
"You have no items in this requisition list.","U hebt geen producten in uw bestellijst.",module,Magento_RequisitionList
"You have no items in your shopping cart.","Je hebt geen items in je winkelwagen.",module,Magento_Checkout
"You have no items in your wish list.","Je hebt geen items op je verlanglijst.",module,Magento_Wishlist
"You have no items to compare.","Je hebt geen items om te vergelijken.",module,Magento_Catalog
"You have no other address entries in your address book.","Je hebt geen andere adresvermeldingen in je adresboek.",module,Magento_Customer
"You have no shipping address for this quote.","U heeft geen verzendadres voor deze offerte.",module,Magento_NegotiableQuote
"You have no stored payment methods.","U hebt geen opgeslagen betaalmethoden.",module,Magento_Vault
"You have not canceled the item.","Je hebt het item niet geannuleerd.",module,Magento_Sales
"You have not entered a product SKU.","Er is geen artikelnummer ingevuld.",module,Magento_AdvancedCheckout
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Er is geen Artikelnummer ingevuld. <a href=""%1"">Klik hier</a> om producten via Art.nr. toe te voegen.",module,Magento_AdvancedCheckout
"You have not purchased any downloadable products yet.","Je hebt nog geen downloadbare producten gekocht.",module,Magento_Downloadable
"You have not put the order on hold.","Je hebt de order niet op hold gezet.",module,Magento_Sales
"You have not set a default billing address.","Je hebt geen standaard factuuradres ingesteld.",module,Magento_Customer
"You have not set a default shipping address.","Je hebt geen standaard leveringsadres ingesteld.",module,Magento_Customer
"You have not uploaded the image.","U heeft de afbeelding niet geüpload.",module,Magento_GiftWrapping
"You have placed no orders.","Je hebt geen bestellingen geplaatst.",module,Magento_Sales
"You have placed no returns.","U heeft geen retourneringen geplaatst",module,Magento_Rma
"You have put %1 order(s) on hold.","Je hebt %1 order(s) op hold gezet.",module,Magento_Sales
"You have revoked the customer's tokens.","Je hebt de tokens van de klant ingetrokken.",module,Magento_Customer
"You have revoked the user's tokens.","Je hebt de tokens van de gebruiker ingetrokken.",module,Magento_User
"You have saved company %companyName.","U hebt bedrijf %companyName opgeslagen.",module,Magento_Company
"You have saved the hierarchy.","U heeft de hiërarchie opgeslagen.",module,Magento_VersionsCms
"You have signed out and will go to our homepage in 5 seconds.","Je bent uitgelogd en wordt binnen 5 seconden doorgestuurd naar de homepagina.",module,Magento_Customer
"You have submitted no reviews.","Je hebt geen reviews ingediend.",module,Magento_Review
"You have successfully created the new gift registry ""%registry_name"".","U heeft een nieuwe verlanglijst ""%registry_name"" aangemaakt.",module,Magento_GiftRegistry
"You have successfully saved your edits.","Uw bewerkingen zijn opgeslagen.",module,Magento_Ui
"You have unassigned the order status.","Je hebt de orderstatus ongedaan maakt.",module,Magento_Sales
"You have updated the items in the quote.","U heeft de artikelen in deze offerte bijgewerkt.",module,Magento_NegotiableQuote
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","U heeft alle recente systeem-meldingen bekeken en opgelost. Herlaad de pagina om de melding op te ruimen.",module,Magento_AdminNotification
"You haven't created a gift registry yet.","U heeft nog geen verlanglijst aangemaakt.",module,Magento_GiftRegistry
"You haven't selected any items!","Er zijn geen producten geselecteerd!",module,Magento_Ui
"You matched the reminder rule.","U trigger t de herinnering regel.",module,Magento_Reminder
"You may need more permissions to access this category.","U heeft mogelijk meer bevoegdheden nodig voor toegang tot deze categorie.",module,Magento_CatalogPermissions
"You may need more permissions to access this product.","U heeft mogelijk meer bevoegdheden nodig voor toegang tot dit product.",module,Magento_CatalogPermissions
"You moved the category","Je hebt de categorie verplaatst",module,Magento_Catalog
"You moved the category.","U heeft de categorie verplaatst.",module,Magento_Catalog
"You must buy at least %1 of these per purchase.","U moet ten minste %1 van dit product aanschaffen per aankoop.",module,Magento_AdvancedCheckout
"You must confirm your %customer_email email before you can sign in (link is only valid once):","Je dient je e-mail %customer_email te bevestigen voordat je in kunt loggen (link is slechts eenmalig geldig):",module,Magento_Customer
